Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
0,229,1,0,0,36945,33337,3.5,6.0,265,17,23,4451,106,189
0,293,2,0,1,23820,21761,2.0,4.0,200,24,31,2778,101,172
0,364,2,0,1,26990,24647,2.4,4.0,200,22,29,3230,105,183
0,363,2,0,1,33195,30299,3.2,6.0,270,20,28,3575,108,186
0,0,2,0,1,43755,39014,3.5,6.0,225,18,24,3880,115,197
0,1,2,0,1,46100,41100,3.5,6.0,225,18,24,3893,115,197
0,256,3,0,2,89765,79978,3.2,6.0,290,17,24,3153,100,174
1,32,2,1,1,25940,23508,1.8,4.0,170,22,31,3252,104,179
1,38,2,1,1,35940,32506,1.8,4.0,170,23,30,3638,105,180
1,33,2,1,1,31840,28846,3.0,6.0,220,20,28,3462,104,179
1,35,2,1,0,33430,30366,3.0,6.0,220,17,26,3583,104,179
1,34,2,1,0,34480,31388,3.0,6.0,220,18,25,3627,104,179
1,40,2,1,1,36640,33129,3.0,6.0,220,20,27,3561,109,192
1,42,2,1,0,39640,35992,3.0,6.0,220,18,25,3880,109,192
1,37,2,1,1,42490,38325,3.0,6.0,220,20,27,3814,105,180
1,36,2,1,0,44240,40075,3.0,6.0,220,18,25,4013,105,180
1,39,2,1,0,42840,38840,2.7,6.0,250,18,25,3836,109,192
1,43,2,1,0,49690,44936,4.2,8.0,300,17,24,4024,109,193
1,44,2,1,0,69190,64740,4.2,8.0,330,17,24,4399,121,204
1,311,2,1,0,48040,43556,4.2,8.0,340,14,20,3825,104,179
1,292,3,1,1,84600,76417,4.2,8.0,450,15,22,4024,109,191
1,366,3,1,1,35940,32512,1.8,4.0,180,20,28,3131,95,159
1,365,3,1,0,37390,33891,1.8,4.0,225,20,28,2921,96,159
1,367,3,1,0,40590,36739,3.2,6.0,250,21,29,3351,96,159
1,41,5,1,0,40840,37060,3.0,6.0,220,18,25,4035,109,192
1,310,5,1,0,49090,44446,4.2,8.0,340,15,21,3936,104,179
2,398,1,1,0,37000,33873,3.0,6.0,225,16,23,4023,110,180
2,399,1,1,0,52195,47720,4.4,8.0,325,16,22,4824,111,184
2,6,2,1,2,28495,26155,2.5,6.0,184,20,29,3219,107,176
2,4,2,1,2,30795,28245,2.5,6.0,184,20,29,3197,107,177
2,5,2,1,2,37995,34800,2.5,6.0,184,19,27,3560,107,177
2,7,2,1,0,30245,27745,2.5,6.0,184,19,27,3461,107,176
2,11,2,1,2,35495,32525,3.0,6.0,225,20,30,3285,107,176
2,9,2,1,2,36995,33890,3.0,6.0,225,20,30,3285,107,176
2,12,2,1,0,37245,34115,3.0,6.0,225,20,29,3483,107,176
2,16,2,1,2,39995,36620,2.5,6.0,184,19,28,3428,114,191
2,10,2,1,2,44295,40530,3.0,6.0,225,19,28,3616,107,177
2,17,2,1,2,44995,41170,3.0,6.0,225,20,30,3472,114,191
2,18,2,1,2,54995,50270,4.4,8.0,325,18,26,3814,114,191
2,20,2,1,2,69195,63190,4.4,8.0,325,18,26,4376,118,198
2,19,2,1,2,73195,66830,4.4,8.0,325,18,26,4464,123,204
2,227,3,1,2,48195,44170,3.2,6.0,333,16,24,3415,108,177
2,226,3,1,2,56595,51815,3.2,6.0,333,16,23,3781,108,177
2,415,3,1,2,33895,31065,2.5,6.0,184,20,28,2932,98,161
2,416,3,1,2,41045,37575,3.0,6.0,225,21,29,2998,98,161
